Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523840495628,326779810182252,-0.021115141,0.0087432545,-0.012757697
android.sensor.gyroscope,1523840495649,326779830282092,-0.04401833,0.0034169322,0.002156005
android.sensor.gyroscope,1523840495651,326779850370628,-0.036028843,-0.018420989,0.0026886372
android.sensor.gyroscope,1523840495671,326779870470340,-0.04721412,-0.00190939,0.009612856
android.sensor.gyroscope,1523840495691,326779890569924,-0.062660456,0.0028843,0.009080225
android.sensor.gyroscope,1523840495714,326779910669508,-0.043485694,-0.027475737,0.006417063
android.sensor.gyroscope,1523840495732,326779930769092,-0.009397234,-0.04824839,0.0032212695
android.sensor.gyroscope,1523840495752,326779950870517,-0.005136175,-0.036530484,0.004819166
android.sensor.gyroscope,1523840495773,326779970970229,-0.05147518,-0.00670308,0.004819166
android.sensor.gyroscope,1523840495794,326779991069941,-0.031235155,-0.006170448,0.008014959
android.sensor.gyroscope,1523840495813,326780011169653,-8.7511726E-4,-0.02321468,0.0058844304
android.sensor.gyroscope,1523840495832,326780031269365,0.0017880439,-0.027475737,0.010145488
android.sensor.gyroscope,1523840495853,326780051373575,-0.015256188,-0.028541,-0.0021050528
android.sensor.gyroscope,1523840495875,326780071473287,0.0028533083,-0.039726276,-0.0015724206
android.sensor.gyroscope,1523840495894,326780091572999,0.007646998,-0.035997853,-5.0715613E-4
android.sensor.gyroscope,1523840495913,326780111672711,-0.021115141,-0.034399956,0.014939179
android.sensor.gyroscope,1523840495933,326780131772423,0.021495437,0.005014829,-0.0042355815
android.sensor.gyroscope,1523840495955,326780151879781,0.05824706,0.013536944,-0.0015724206
android.sensor.gyroscope,1523840495973,326780171979621,0.049724944,7.5377116E-4,-0.01329033
android.sensor.gyroscope,1523840495993,326780192079461,0.003918573,-0.029606264,-0.01595349
android.sensor.gyroscope,1523840496013,326780212179173,-0.002473014,-0.027475737,-0.006898743
android.sensor.gyroscope,1523840496035,326780232279013,0.020430172,0.017798003,-0.004768214
android.sensor.gyroscope,1523840496053,326780252369887,0.020962805,0.063071735,-0.006898743
android.sensor.gyroscope,1523840496074,326780272469598,0.016705662,0.034301728,-0.0021099946
android.sensor.gyroscope,1523840496095,326780292569183,0.041206744,-0.007243585,-0.0063710525
android.sensor.gyroscope,1523840496115,326780312668895,0.052924655,0.009268014,5.531665E-4
android.sensor.gyroscope,1523840496133,326780332768479,0.048130963,0.030040672,0.001618431
android.sensor.gyroscope,1523840496153,326780352883403,0.027358307,0.016192233,2.0534266E-5
android.sensor.gyroscope,1523840496173,326780372983371,0.024695145,-0.01097201,-0.0042405236
android.sensor.gyroscope,1523840496195,326780393083339,0.02842357,0.003941692,-0.0021099946
android.sensor.gyroscope,1523840496212,326780413183435,0.032151997,0.026312245,0.009607915
android.sensor.gyroscope,1523840496233,326780433283403,0.050261494,0.015126968,0.03517426
android.sensor.gyroscope,1523840496253,326780453388765,0.02842357,0.007137485,0.008542649
android.sensor.gyroscope,1523840496276,326780473488861,0.0049877525,0.0028764275,0.0058794883
android.sensor.gyroscope,1523840496293,326780493588957,0.008716178,0.02737751,-0.012230007
android.sensor.gyroscope,1523840496313,326780513689053,-3.3856984E-4,0.010865911,-0.01755633
