Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523840688500,326972686780727,2.3998096,8.277188,5.2738333
android.sensor.accelerometer,1523840688518,326972706880951,2.1698878,8.310719,5.101392
android.sensor.accelerometer,1523840688537,326972726981175,2.0213966,8.267608,5.0678616
android.sensor.accelerometer,1523840688558,326972747081399,2.0309765,8.176597,5.125342
android.sensor.accelerometer,1523840688577,326972767181623,1.9974464,8.195757,5.4223247
android.sensor.accelerometer,1523840688599,326972787278543,2.198628,8.349038,5.575606
android.sensor.accelerometer,1523840688618,326972807378639,2.44292,8.4304695,5.2834134
android.sensor.accelerometer,1523840688638,326972827478863,2.3854396,8.392149,4.9289503
android.sensor.accelerometer,1523840688658,326972847579087,2.0118165,8.310719,5.2355127
android.sensor.accelerometer,1523840688680,326972867679183,1.8920655,8.358619,5.872588
android.sensor.accelerometer,1523840688699,326972887789591,2.2944288,8.425679,5.6761966
android.sensor.accelerometer,1523840688718,326972907890071,2.6009912,8.440049,5.0822315
android.sensor.accelerometer,1523840688739,326972927990551,2.6345215,8.291558,4.9385304
android.sensor.accelerometer,1523840688761,326972948091031,2.0166066,8.023315,4.90979
android.sensor.accelerometer,1523840688779,326972968191511,1.6525636,7.688013,5.245093
android.sensor.accelerometer,1523840688799,326972988279938,1.4513819,7.32876,5.360054
android.sensor.accelerometer,1523840688819,326973008380034,1.2166699,6.926397,4.90979
android.sensor.accelerometer,1523840688841,326973028480002,0.9867481,6.423443,4.1960745
android.sensor.accelerometer,1523840688859,326973048580098,0.89573735,5.7145166,3.7027004
android.sensor.accelerometer,1523840688880,326973068680066,0.86220706,4.7133985,3.3721876
android.sensor.accelerometer,1523840688900,326973088783870,0.68018556,3.6404297,3.0416749
android.sensor.accelerometer,1523840688922,326973108883966,-0.67539555,3.2859669,2.5962012
android.sensor.accelerometer,1523840688940,326973128983934,-2.0309765,3.1422658,1.1208692
android.sensor.accelerometer,1523840688960,326973149084030,-2.6441016,3.3290772,0.63707525
android.sensor.accelerometer,1523840688980,326973169184126,-1.3555812,3.4248781,1.22625
android.sensor.accelerometer,1523840689002,326973189287690,1.7292042,3.6739602,2.8692336
android.sensor.accelerometer,1523840689020,326973209387914,3.9517825,4.6607084,3.9134622
android.sensor.accelerometer,1523840689043,326973229488138,3.9901028,5.4414845,3.410508
android.sensor.accelerometer,1523840689060,326973249588362,4.996011,5.6426663,3.3578174
android.sensor.accelerometer,1523840689082,326973269688586,7.151529,5.743257,4.287085
android.sensor.accelerometer,1523840689100,326973289790220,8.2197075,5.575606,4.9433208
android.sensor.accelerometer,1523840689121,326973309890444,8.693921,5.465435,5.269043
android.sensor.accelerometer,1523840689141,326973329990540,8.454419,5.345684,5.9204884
android.sensor.accelerometer,1523840689163,326973350090764,9.239985,4.9385304,6.7779055
android.sensor.accelerometer,1523840689180,326973370190988,9.80521,4.608018,6.11688
android.sensor.accelerometer,1523840689201,326973390285666,9.532178,4.296665,4.6942387
android.sensor.accelerometer,1523840689221,326973410385890,9.532178,3.6021094,4.9529004
android.sensor.accelerometer,1523840689243,326973430485986,8.746612,3.0991554,6.485713
android.sensor.accelerometer,1523840689261,326973450586210,8.406519,3.4871485,6.543194
android.sensor.accelerometer,1523840689281,326973470686434,10.317744,4.478687,6.5048733
android.sensor.accelerometer,1523840689301,326973490775589,13.694722,5.3408937,6.3851223
android.sensor.accelerometer,1523840689324,326973510875557,16.190332,5.9013286,5.407954
android.sensor.accelerometer,1523840689342,326973530975397,16.434626,5.3121533,5.709727
android.sensor.accelerometer,1523840689362,326973551075365,14.68147,3.6021094,7.7502837
android.sensor.accelerometer,1523840689382,326973571175333,12.334352,2.1603076,9.656719
android.sensor.accelerometer,1523840689404,326973591271845,11.735597,1.4992822,10.327325
android.sensor.accelerometer,1523840689422,326973611371685,12.478052,1.1304493,8.938213
