Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523841009871,327293581473543,-0.020536073,-0.22782633,-0.12944551
android.sensor.gyroscope,1523841009890,327293601573511,-0.03385188,-0.21504316,-0.14702238
android.sensor.gyroscope,1523841009901,327293621673479,-0.050896112,-0.19533576,-0.1539466
android.sensor.gyroscope,1523841009922,327293641773447,-0.033319246,-0.25605583,-0.120390765
android.sensor.gyroscope,1523841009948,327293661873415,-0.015742384,-0.32583067,-0.101216
android.sensor.gyroscope,1523841009965,327293681964605,0.04444506,-0.37856126,-0.1177276
android.sensor.gyroscope,1523841009984,327293702064445,0.12220936,-0.39667076,-0.15767501
android.sensor.gyroscope,1523841010009,327293722164285,0.1344599,-0.36844125,-0.15820765
android.sensor.gyroscope,1523841010024,327293742263997,0.14404728,-0.39347497,-0.101216
android.sensor.gyroscope,1523841010045,327293762363837,0.14777571,-0.36204967,-0.06872544
android.sensor.gyroscope,1523841010069,327293782458716,0.23672529,-0.4834898,-0.044756986
android.sensor.gyroscope,1523841010084,327293802558300,0.35390437,-0.63742054,0.011702031
android.sensor.gyroscope,1523841010106,327293822657883,0.5877203,-0.8264857,0.1757649
android.sensor.gyroscope,1523841010126,327293842757468,0.83539426,-0.39824942,0.42450416
android.sensor.gyroscope,1523841010144,327293862857052,1.313698,-0.9037174,0.15019855
android.sensor.gyroscope,1523841010164,327293882957507,2.0444694,-1.8054638,-0.60347605
android.sensor.gyroscope,1523841010186,327293903057091,3.6487577,-2.327976,-1.4839172
android.sensor.gyroscope,1523841010205,327293923156675,4.0226655,-2.7008185,-1.8061597
android.sensor.gyroscope,1523841010224,327293943256131,3.0660582,-2.1601968,-1.5712689
android.sensor.gyroscope,1523841010244,327293963355715,2.0194356,-2.0819,-1.2532874
android.sensor.gyroscope,1523841010266,327293983453446,1.7147701,-3.1429033,-1.4732646
android.sensor.gyroscope,1523841010285,327294003553030,2.0897431,-4.451581,-1.7379827
android.sensor.gyroscope,1523841010305,327294023652614,2.2010634,-5.4646473,-1.7875175
android.sensor.gyroscope,1523841010325,327294043752070,1.8010565,-6.096882,-1.7992355
android.sensor.gyroscope,1523841010346,327294063851654,1.1911926,-6.3802423,-1.640511
android.sensor.gyroscope,1523841010365,327294083957796,0.8737438,-6.630047,-1.3246602
android.sensor.gyroscope,1523841010385,327294104057508,0.6399182,-6.729649,-0.8500848
android.sensor.gyroscope,1523841010405,327294124157220,0.29530516,-6.691832,-0.27111354
